RowID,conv
130704,false
746668,false
346106,false
796254,false
112818,false
790645,false
922586,false
530539,false
982144,false
207134,false
718604,false
810940,false
793101,false
888843,false
137147,false
676548,false
399698,false
867489,false
38756,false
194090,false
410646,false
527879,false
768522,false
577162,false
934960,false
400201,false
105024,false
884609,false
836777,false
980613,false
533064,false
488387,false
767172,false
653040,false
890302,false
556012,false
859299,false
359812,false
939803,false
562438,false
46887,false
653330,false
268966,false
86471,false
113221,false
127250,false
167587,false
244440,false
312522,false
561911,false
150794,false
917382,false
894924,false
388692,false
444797,false
255981,false
847808,false
683337,false
233166,false
179874,false
395259,false
80622,false
316761,false
245624,false
236498,false
626474,false
475841,false
575392,false
985332,false
38731,false
921215,false
317142,false
978656,false
43104,false
611727,false
947785,false
711925,false
125554,false
910109,false
263685,false
227564,false
13538,false
472981,false
146144,false
422173,false
826421,false
629860,false
931619,false
415347,false
841181,false
422938,false
679971,false
482956,false
550569,false
349077,false
475419,false
100715,false
794201,false
340678,false
430850,false
853964,false
138998,false
867278,false
108445,false
475408,false
930834,false
974049,false
402726,false
316815,false
315915,false
641191,false
830596,false
304293,false
781802,false
522121,false
107736,false
792342,false
47189,false
47441,false
530891,false
848891,false
179566,false
34228,false
361086,false
872822,false
421706,false
315247,false
249242,false
3203222,false
7878,false
617530,false
823942,false
901671,false
101,false
282904,false
843380,false
355530,false
158863,false
279770,false
970212,false
528204,false
203096,false
538466,false
89481,false
868418,false
209071,false
967946,false
853937,false
442641,false
133781,false
454193,false
481269,false
296851,false
159500,false
667155,false
128170,false
402304,false
493071,false
636005,false
833172,false
80805,false
642713,false
139537,false
877839,false
481843,false
502436,false
958173,false
507237,false
340540,false
685604,false
971686,false
903198,false
586518,false
284407,false
577224,false
18079,false
107984,false
35481,false
816384,false
891642,false
3424305,false
973990,false
913320,false
571585,false
901308,false
166823,false
137304,false
614587,false
537320,false
766298,false
336835,false
88643,false
247276,false
67480,false
496228,false
187406,false
3164244,false
558653,false
331943,false
824023,false
710574,false
735984,false
47310,false
710929,false
152804,false
305606,false
139594,false
390348,false
827662,false
356749,false
44756,false
1583657,false
892460,false
2399331,false
72092,false
851596,false
391460,false
193257,false
622666,false
121956,false
232823,false
638044,false
8937,false
945406,false
82214,false
952907,false
302643,false
628219,false
236988,false
127097,false
683954,false
957500,false
20280,false
183963,false
589780,false
336576,false
951011,false
342523,false
140661,false
857645,false
301026,false
36536,false
699830,false
867815,false
410645,false
229673,false
209995,false
404268,false
979942,false
298104,false
644322,false
479245,false
3154,false
512795,false
857452,false
673893,false
511436,false
499839,false
168436,false
334386,false
853230,false
494059,false
952502,false
384911,false
373915,false
113550,false
71871,false
930540,false
658441,false
212817,false
918980,false
508546,false
607845,false
649987,false
533730,false
330135,false
247570,false
466595,false
852,false
980438,false
776263,false
632053,false
660995,false
260131,false
540876,false
518211,false
968382,false
534670,false
132085,false
903230,false
161120,false
349061,false
652473,false
635871,false
828877,false
412785,false
2176174,false
436034,false
551692,false
94120,false
543222,false
905988,false
630955,false
853963,false
801876,false
59212,false
148415,false
889867,false
789536,false
22335,false
967401,false
572827,false
376659,false
178108,false
704012,false
335672,false
469306,false
854734,false
676398,false
7850,false
683555,false
220745,false
223152,false
390660,false
863232,false
962642,false
189024,false
589308,false
556449,false
156571,false
131496,false
921199,false
279108,false
905000,false
265597,false
804788,false
644586,false
500101,false
294684,false
523875,false
310466,false
29658,false
510746,false
490292,false
78584,false
525482,false
457371,false
529046,false
845274,false
603820,false
645015,false
404760,false
721806,false
493577,false
819596,false
810446,false
642031,false
85386,false
343412,false
243241,false
781289,false
671622,false
461483,false
347710,false
534535,false
1174,false
364784,false
368721,false
840771,false
828148,false
981041,false
981073,false
268174,false
467588,false
339650,false
716257,false
358177,false
257525,false
927091,false
341843,false
359944,false
555005,false
275795,false
3271327,false
188580,false
174478,false
893147,false
114267,false
747771,false
235619,false
867314,false
345211,false
443357,false
423402,false
727024,false
858055,false
873998,false
689475,false
830393,false
541666,false
353338,false
566189,false
414194,false
259681,false
949211,false
486573,false
109575,false
219487,false
545585,false
544659,false
315228,false
444336,false
466625,false
401426,false
259773,false
98562,false
177441,false
71142,false
411702,false
430256,false
722618,false
33035,false
393378,false
420561,false
404007,false
131254,false
159880,false
255617,false
31164,false
301583,false
556766,false
204901,false
782384,false
311912,false
261355,false
928505,false
582072,false
701739,false
102802,false
342644,false
997897,false
844154,false
66245,false
759810,false
958741,false
76017,false
